Individual,SampleID,Family,Genus,Epithet,nRawReads,nMergedReads,nUnmergedReads
I30499,AHE19_0083,Erebidae,Pseudophaloe,troetschi,8002940,3126024,1750892
I30494,AHE19_0076,Erebidae,Calodesma,maculifrons,8024294,2864589,2295116
I30469,AHE19_0073,Erebidae,Dialeucias,pallidistriata,8157126,3181722,1793682
I30517,GUF18_01_0073,Erebidae,Senecauxia,coraliae,8219714,2948532,2322650
I30537,YAN14_0283,Erebidae,Nodozana,fifi,8230883,3146969,1936945
I30531,"""0181""",Erebidae,Pagara,simplex,8289639,3560174,1169291
I30547,Makani_33,Erebidae,Cisthene,juanita,8355657,3265879,1823899
I30445,AHE19_0024,Erebidae,Parathyris,cedonulli,8478873,3445869,1587135
I30485,AHE19_0064,Erebidae,Rhipha,strigosa,8534969,3867531,799907
I30421,AHE19_0041,Erebidae,Anaxita,decorata,8674806,2536116,3602574
I30487,AHE19_0065,Erebidae,Scaptius,obscurata,8758985,3148677,2461631
I30467,AHE19_0051,Erebidae,Cresera,ilus,8776083,4023618,728847
I30484,AHE19_0104,Erebidae,Pryteria,costata,8919160,4262484,394192
I30471,AHE19_0091,Erebidae,Emurena,lurida,9132072,3476523,2179026
I30486,AHE19_0099,Erebidae,Rhodorhipa,flammans,9169006,3973542,1221922
I30460,AHE19_0108,Erebidae,Aemilia,fanum,9183202,2224630,4733942
I30500,GUF19_01_0016,Erebidae,Apyre,separata,9197731,3088580,3020571
